file_name,file_path,text,subject
高一物理人教版必修2课件：5.1 曲线运动 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.1 曲线运动 1 .pptx,占位符,物理
高一物理人教版必修2课件：5.1 曲线运动 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.1 曲线运动 2 .pptx,占位符,物理
高一物理人教版必修2课件：5.2 平抛运动 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.2 平抛运动 1 .pptx,占位符,物理
高一物理人教版必修2课件：5.2 平抛运动 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.2 平抛运动 2 .pptx,占位符,物理
高一物理人教版必修2课件：5.3 实验：研究平抛运动 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.3 实验：研究平抛运动 1 .pptx,占位符,物理
高一物理人教版必修2课件：5.3 实验：研究平抛运动 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.3 实验：研究平抛运动 2 .pptx,占位符,物理
高一物理人教版必修2课件：5.4 圆周运动 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.4 圆周运动 1 .pptx,占位符,物理
高一物理人教版必修2课件：5.4 圆周运动 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.4 圆周运动 2 .pptx,占位符,物理
高一物理人教版必修2课件：5.5 向心加速度 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.5 向心加速度 1 .pptx,占位符,物理
高一物理人教版必修2课件：5.5 向心加速度 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.5 向心加速度 2 .pptx,占位符,物理
高一物理人教版必修2课件：5.6 向心力 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.6 向心力 1 .pptx,占位符,物理
高一物理人教版必修2课件：5.6 向心力 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.6 向心力 2 .pptx,占位符,物理
高一物理人教版必修2课件：5.7 生活中的圆周运动 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.7 生活中的圆周运动 1 .pptx,占位符,物理
高一物理人教版必修2课件：5.7 生活中的圆周运动 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：5.7 生活中的圆周运动 2 .pptx,占位符,物理
高一物理人教版必修2课件：6.1 行星的运动 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.1 行星的运动 1 .pptx,占位符,物理
高一物理人教版必修2课件：6.1 行星的运动 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.1 行星的运动 2 .pptx,占位符,物理
高一物理人教版必修2课件：6.2 太阳与行星间的引力 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.2 太阳与行星间的引力 1 .pptx,占位符,物理
高一物理人教版必修2课件：6.2 太阳与行星间的引力 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.2 太阳与行星间的引力 2 .pptx,占位符,物理
高一物理人教版必修2课件：6.3 万有引力定律 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.3 万有引力定律 1 .pptx,占位符,物理
高一物理人教版必修2课件：6.3 万有引力定律 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.3 万有引力定律 2 .pptx,占位符,物理
高一物理人教版必修2课件：6.4 万有引力理论的成就 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.4 万有引力理论的成就 1 .pptx,占位符,物理
高一物理人教版必修2课件：6.4 万有引力理论的成就 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.4 万有引力理论的成就 2 .pptx,占位符,物理
高一物理人教版必修2课件：6.5 宇宙航行 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.5 宇宙航行 1 .pptx,占位符,物理
高一物理人教版必修2课件：6.5 宇宙航行 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.5 宇宙航行 2 .pptx,占位符,物理
高一物理人教版必修2课件：6.6 经典力学的局限性 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.6 经典力学的局限性 1 .pptx,占位符,物理
高一物理人教版必修2课件：6.6 经典力学的局限性 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：6.6 经典力学的局限性 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.1 追寻守恒量——能量 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.1 追寻守恒量——能量 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.1 追寻守恒量——能量 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.1 追寻守恒量——能量 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.10 能量守恒定律与能源 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.10 能量守恒定律与能源 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.10 能量守恒定律与能源 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.10 能量守恒定律与能源 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.2 功 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.2 功 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.2 功 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.2 功 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.3 功率 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.3 功率 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.3 功率 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.3 功率 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.4 重力势能 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.4 重力势能 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.4 重力势能 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.4 重力势能 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.5 探究弹性势能的表达式 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.5 探究弹性势能的表达式 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.5 探究弹性势能的表达式 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.5 探究弹性势能的表达式 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.6 实验：探究功与速度变化的关系 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.6 实验：探究功与速度变化的关系 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.6 实验：探究功与速度变化的关系 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.6 实验：探究功与速度变化的关系 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.7 动能和动能定理 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.7 动能和动能定理 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.7 动能和动能定理 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.7 动能和动能定理 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.8 机械能守恒定律 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.8 机械能守恒定律 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.8 机械能守恒定律 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.8 机械能守恒定律 2 .pptx,占位符,物理
高一物理人教版必修2课件：7.9 实验：验证机械能守恒定律 1 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.9 实验：验证机械能守恒定律 1 .pptx,占位符,物理
高一物理人教版必修2课件：7.9 实验：验证机械能守恒定律 2 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：7.9 实验：验证机械能守恒定律 2 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 1-2 追寻守恒量——能量 功 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 1-2 追寻守恒量——能量 功 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 10 机械能守恒定律 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 10 机械能守恒定律 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 11 习题课：机械能守恒定律的应用 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 11 习题课：机械能守恒定律的应用 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 12 实验：验证机械能守恒定律 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 12 实验：验证机械能守恒定律 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 13 能量守恒定律与能源 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 13 能量守恒定律与能源 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 3 功率 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 3 功率 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 4 习题课：功和功率 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 4 习题课：功和功率 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 5 重力势能 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 5 重力势能 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 6 探究弹性势能的表达式 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 6 探究弹性势能的表达式 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 7 实验：探究功与速度变化的关系 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 7 实验：探究功与速度变化的关系 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 8 动能和动能定理 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 8 动能和动能定理 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 9 习题课：动能定理 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 9 习题课：动能定理 .pptx,占位符,物理
高一物理人教版必修2课件：第七章 机械能守恒定律 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第七章 机械能守恒定律 .pptx,占位符,物理
高一物理人教版必修2课件：第五章 1 曲线运动 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第五章 1 曲线运动 .pptx,占位符,物理
高一物理人教版必修2课件：第五章 2 习题课：曲线运动 .pptx,F:\Desktop\code\Other\Deloitte competition\tsearcher\tsearcher\files\ppt\物理\K48-02高中人教版物理全套课件\必修二\高一物理人教版必修2课件打包75份\高一物理人教版必修2课件：第五章 2 习题课：曲线运动 .pptx,占位符,物理
